ID,Measure Body Length,Length (mm),Measure Eye Diameter,Eye size (mm),Measure Dorsal Fin Anterior Maximum,Measure Dorsal Fin Minimum,Measure Dorsal Fin Posterior Maximum,Fin indentation ratio,Measure Yolk Width,Measure Yolk Height,Yolk volume (mm2),Jaw gape (um),body weight,yolk weight,total weight,% yolk weight,treatment group,age,,,,,,
F33-13.jpg,11475.06489,11.47506489,887.0631725,0.887063172,NA,NA,NA,,2160.297166,1675.040853,11.36811362,,0.59,0.73,1.32,55.3030303,8,0,,,,,,
F33-14.jpg,11741.01112,11.74101112,908.9062876,0.908906288,250.3546652,197.661723,416.407923,0.592899861,2393.622736,1346.415606,10.12475083,0.61,0.72,0.49,1.21,40.49586777,8,0,,,,,,
F33-15.jpg,11456.34718,11.45634718,912.2484512,0.912248451,255.7663526,151.987122,257.3479617,0.592410376,2422.3898,1701.819997,12.95111494,0.74,0.53,0.68,1.21,56.19834711,8,0,,,,,,
F33-16.jpg,11857.30631,11.85730631,921.3768929,0.921376893,286.7525565,176.966074,311.8110694,0.591302466,2680.046331,2029.211395,17.08516196,,0.63,1.02,1.65,61.81818182,8,0,,,,,,
F33-17.jpg,12191.81081,12.19181081,869.3652575,0.869365258,246.5340134,182.9256468,351.0955476,0.612170678,2461.542796,1930.580803,14.92948683,,0.56,0.93,1.49,62.41610738,8,0,,,,,,
F33-18.jpg,11385.73062,11.38573062,886.9896532,0.886989653,325.0322071,255.3694197,355.5865705,0.750403686,2602.040487,1861.987695,15.22090104,0.64,0.51,0.93,1.44,64.58333333,8,0,,,,,,
F33-19.jpg,11956.95151,11.95695151,931.9331741,0.931933174,389.8974339,289.5438297,400.1693039,0.732960435,2482.077493,1616.138528,12.60211464,,0.59,0.94,1.53,61.4379085,8,0,,,,,,
F33-20.jpg,12076.24447,12.07624447,888.581209,0.888581209,320.3390844,201.7615949,371.2188803,0.583498724,2326.865592,2107.323003,15.40465269,,0.64,1.13,1.77,63.84180791,8,0,,,,,,
F33-9.jpg,12107.66876,12.10766876,972.1122209,0.972112221,291.1659367,194.4462949,395.2134557,0.566585469,2188.949446,1688.946922,11.61451927,0.58,0.59,0.74,1.33,55.63909774,8,0,,,,,,
F41-1.jpg,,,909.8149553,0.909814955,182.3290989,142.2060148,293.1567974,0.598150296,2147.194822,1828.828199,12.33655407,0.79,0.6,0.7,1.3,53.84615385,8,0,,,,,,
F41-10.jpg,13172.30807,13.17230807,898.0201041,0.898020104,247.2452596,244.6362674,416.8374417,0.736764463,2231.260179,1426.812608,10.00153499,0.87,0.8,0.73,1.53,47.7124183,8,0,,,,,,
F41-11.jpg,11048.31788,11.04831788,905.7579826,0.905757983,280.0215609,212.7355886,332.8282496,0.69425032,1779.014607,1368.183171,7.646686122,0.77,0.73,0.4,1.13,35.39823009,8,0,,,,,,
F41-12.jpg,11825.63058,11.82563058,872.7677903,0.87276779,279.5546165,250.7211396,347.6704393,0.799461492,2373.626263,1821.204005,13.58064638,0.81,0.69,0.79,1.48,53.37837838,8,0,,,,,,
F41-13.jpg,11929.16804,11.92916804,929.3080155,0.929308015,331.9857024,122.5976938,282.8766126,0.398780966,2151.062115,1242.636266,8.397431725,0.82,0.78,0.7,1.48,47.2972973,8,0,,,,,,
F41-14.jpg,11202.31096,11.20231096,959.006686,0.959006686,266.359084,255.5989557,330.9548829,0.855827822,2497.290938,1593.522517,12.50192392,0.83,0.59,0.89,1.48,60.13513514,8,0,,,,,,
F41-15.jpg,11480.32832,11.48032832,883.5847528,0.883584753,262.7810752,167.500192,319.9769658,0.574853302,2353.614027,1781.592952,13.17325914,,0.58,0.85,1.43,59.44055944,8,0,,,,,,
F41-2.jpg,11924.26076,11.92426076,670.8647278,0.670864728,438.8662448,180.5128058,494.1385399,0.386949368,2336.029168,2026.582581,14.87277721,0.52,0.77,0.93,1.7,54.70588235,8,0,,,,,,
F41-3.jpg,9341.767248,9.341767248,884.066188,0.884066188,273.0981715,164.2220948,328.9085007,0.545582308,2467.293158,1766.674857,13.69389169,0.62,0.6,0.67,1.27,52.75590551,8,0,,,,,,
F41-4.jpg,11866.51737,11.86651737,915.1582321,0.915158232,344.9587648,313.7952558,403.990802,0.837960978,2473.057888,1692.017478,13.1458488,0.51,0.7,0.81,1.51,53.64238411,8,0,,,,,,
F41-5.jpg,11360.06115,11.36006115,806.3509766,0.806350977,339.7247457,207.8531607,357.4268812,0.59629255,2522.143474,1771.028618,14.03281737,,0.65,0.92,1.57,58.59872611,8,0,,,,,,
F41-6.jpg,12609.99351,12.60999351,969.5319776,0.969531978,283.7174098,183.8427379,422.8234128,0.52040231,2477.057893,1683.155152,13.09814559,0.8,0.7,1.01,1.71,59.06432749,8,0,,,,,,
F41-7.jpg,11731.3061,11.7313061,896.1543815,0.896154382,279.8866004,274.649924,394.9948587,0.81392049,2390.74673,1552.515367,11.66054862,0.69,0.55,0.85,1.4,60.71428571,8,0,,,,,,
F41-8.jpg,11484.97903,11.48497903,867.7566087,0.867756609,292.5927906,145.9818596,288.0540893,0.502824917,2361.955533,1447.232329,10.73889209,0.81,0.54,0.74,1.28,57.8125,8,0,,,,,,
F41-9.jpg,11325.08535,11.32508535,890.8867685,0.890886769,235.1765652,120.1569601,288.0540893,0.459288687,2295.122514,1189.548422,8.577041355,0.83,0.63,0.53,1.16,45.68965517,8,0,,,,,,
F42-1.jpg,11189.49752,11.18949752,866.3272905,0.86632729,252.6738452,157.0402723,306.4821064,0.561704733,2551.575343,1959.142698,15.70449488,0.57,0.54,0.91,1.45,62.75862069,8,0,,,,,,
F42-10.jpg,11899.34821,11.89934821,931.6349271,0.931634927,259.291878,123.1696137,281.7974696,0.455265343,2577.185764,2031.579396,16.4486034,0.56,0.56,1.14,1.7,67.05882353,8,0,,,,,,
F42-11.jpg,11736.09204,11.73609204,898.5693698,0.89856937,266.1328573,166.989622,301.5330666,0.588337665,2431.326682,2148.160925,16.40815064,0.73,0.48,1.13,1.61,70.1863354,8,0,,,,,,
